Incident ID,Date,Display Date,Town/City,Location Name,Location Type,Lat,Lon,Display Latitude,Display Longitude,Category,Incident Type,Incident Tags,Verification,Media Link,Source Merged,Display Sources,Display Visual Evidence
31112-15078,11/12/2023,12-Nov-23,Jabalia,Al-Awda - Jabalia vicinity,Hospital,31.53398978,34.50665359,31.53399,34.50665,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,,"https://t.me/youseffares19/9067, https://t.me/AlarabyTelevision/37391","{'url': 'https://t.me/youseffares19/9067', 'text': 'youseffares19'} | {'url': 'https://t.me/AlarabyTelevision/37391', 'text': 'AlarabyTelevision'}",
31202-68428,12/2/2023,2-Dec-23,Jabalia,Indonesian Hospital vicinity,Hospital,31.53498979,34.50935359,31.53499,34.50935,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,,https://www.alaraby.co.uk/politics/%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D8%B9%D9%84%D9%89-%D8%BA%D8%B2%D8%A9-%D8%A7%D8%B4%D8%AA%D8%A8%D8%A7%D9%83%D8%A7%D8%AA-%D8%B6%D8%A7%D8%B1%D9%8A%D8%A9-%D9%88%D8%AD%D8%AF%D9%8A%D8%AB-%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A-%D8%B9%D9%86-%D8%AE%D8%B7%D8%B7-%D9%84%D9%80%D8%AD%D9%85%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A%D9%8A%D9%86,"{'url': 'https://www.alaraby.co.uk/politics/%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D8%B9%D9%84%D9%89-%D8%BA%D8%B2%D8%A9-%D8%A7%D8%B4%D8%AA%D8%A8%D8%A7%D9%83%D8%A7%D8%AA-%D8%B6%D8%A7%D8%B1%D9%8A%D8%A9-%D9%88%D8%AD%D8%AF%D9%8A%D8%AB-%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A-%D8%B9%D9%86-%D8%AE%D8%B7%D8%B7-%D9%84%D9%80%D8%AD%D9%85%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A%D9%8A%D9%86', 'text': 'alaraby.co.uk'}",
31122-62301,11/22/2023,22-Nov-23,Beit Lahia,Kamal Adwan vicinity,Hospital,31.53842117,34.50128544,31.53842,34.50129,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,https://t.me/AlarabyTelevision/41484,,,https://t.me/AlarabyTelevision/41484
31021-68249,10/21/2023,21-Oct-23,Deir al-Balah,Shuhada Al-Aqsa vicinity,Hospital,31.41988931,34.35995348,31.41989,34.35995,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,https://t.me/QudsN/315969,,,https://t.me/QudsN/315969
40420-63451,4/20/2024,20-Apr-24,Deir al-Balah,Shuhada Al-Aqsa,Hospital,31.41988931,34.35995348,31.41989,34.35995,Medical,attack_immediate_vicinity,Attack on hospitals and vicinity,MOST LIKELY,https://t.me/AlarabyTelevision/87393,"https://t.me/ShehabTelegram/461706, https://t.me/ShehabTelegram/461712","{'url': 'https://t.me/ShehabTelegram/461706', 'text': 'ShehabTelegram'} | {'url': 'https://t.me/ShehabTelegram/461712', 'text': 'ShehabTelegram'}",https://t.me/AlarabyTelevision/87393
40518-50142,5/18/2024,18-May-24,Rafah,Emirates Crescent Hospital vicinity,Hospital,31.30688888,34.24605344,31.30689,34.24605,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,https://x.com/RassdNewsN/status/1791622417858630002,,,https://x.com/RassdNewsN/status/1791622417858630002
40528-89243,5/28/2024,28-May-24,Rafah,Emirates Crescent Hospital vicinity,Hospital,31.30688888,34.24605344,31.30689,34.24605,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,,https://www.youm7.com/story/2024/5/28/%D9%82%D8%B5%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%89-%D9%8A%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D9%85%D8%AD%D9%8A%D8%B7-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%89-%D8%BA%D8%B1%D8%A8-%D8%B1%D9%81%D8%AD-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9/6590793,"{'url': 'https://www.youm7.com/story/2024/5/28/%D9%82%D8%B5%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%89-%D9%8A%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D9%85%D8%AD%D9%8A%D8%B7-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%89-%D8%BA%D8%B1%D8%A8-%D8%B1%D9%81%D8%AD-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9/6590793', 'text': 'youm7.com'}",
40622-49156,6/22/2024,22-Jun-24,Gaza City,Haifa Charity Hospital vicinity,Hospital,31.50759431,34.47241552,31.50759,34.47242,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,,https://x.com/PalinfoAr/status/1804458364291760573,"{'url': 'https://x.com/PalinfoAr/status/1804458364291760573', 'text': 'PalinfoAr'}",
31123-08506,11/23/2023,23-Nov-23,Al-Nuseirat,Al-Awda - Nuseirat vicinity,Hospital,31.44849681,34.38947197,31.4485,34.38947,,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,,https://www.alkofiya.com/post/192221,"{'url': 'https://www.alkofiya.com/post/192221', 'text': 'alkofiya.com'}",
31201-75628,12/1/2023,1-Dec-23,Al-Nuseirat,Al-Awda - Nuseirat,Hospital,31.44849681,34.38947197,31.4485,34.38947,,attack_direct,Attack on hospitals and vicinity,MOST LIKELY,,https://nabd.com/s/129032005-49fa1f/%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D9%82%D8%B5%D9%81-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%B5%D9%8A%D8%B1%D8%A7%D8%AA-%D9%88%D8%B3%D8%B7-%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9,"{'url': 'https://nabd.com/s/129032005-49fa1f/%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D9%82%D8%B5%D9%81-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%B5%D9%8A%D8%B1%D8%A7%D8%AA-%D9%88%D8%B3%D8%B7-%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9', 'text': 'nabd.com'}",
31007-28837,10/7/2023,7-Oct-23,Khan Younis,Nasser Hospital,,31.347002,34.292327,31.347,34.29233,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt00012-october-7-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt00012-october-7-2023/', 'text': 'airwars.org'}",
31007-77751,10/7/2023,7-Oct-23,Jabalia,,,31.535187,34.509384,31.53519,34.50938,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0006-october-7-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0006-october-7-2023/', 'text': 'airwars.org'}",
31009-90073,10/9/2023,9-Oct-23,Jabalia,Al Trans roundabout,,31.53140491,34.49895524,31.5314,34.49896,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,https://t.me/work2873/135181,https://airwars.org/civilian-casualties/ispt0070-october-9-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0070-october-9-2023/', 'text': 'airwars.org'}",https://t.me/work2873/135181
31009-49082,10/9/2023,9-Oct-23,Jabalia,Abu Dayer Commercial Complex,Market,31.532108,34.4985,31.53211,34.4985,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,https://t.me/AlarabyTelevision/24028,"https://airwars.org/civilian-casualties/ispt0044-october-9-2023/,https://t.me/ShehabTelegram/400432","{'url': 'https://airwars.org/civilian-casualties/ispt0044-october-9-2023/', 'text': 'airwars.org'} | {'url': 'https://t.me/ShehabTelegram/400432', 'text': 'ShehabTelegram'}",https://t.me/AlarabyTelevision/24028
31009-30013,10/9/2023,9-Oct-23,Abasan al-Kabira,,,31.323183,34.344076,31.32318,34.34408,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,https://www.facebook.com/PRCSGaza/videos/720446896085992/,https://airwars.org/civilian-casualties/ispt0075a-october-9-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0075a-october-9-2023/', 'text': 'airwars.org'}",https://www.facebook.com/PRCSGaza/videos/720446896085992/
31009-96827,10/9/2023,9-Oct-23,Gaza City,Al-Shati refugee camp,Residential Building,31.530719,34.452569,31.53072,34.45257,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,https://www.facebook.com/Eng.Kholoudmajde/posts/pfbid021Kv2Wg2FQZCTQhGAmqJPtfnqywgzvsSgQX9YVRFWesVJZ74yXusxHNrPsyK5tA2Al,https://airwars.org/civilian-casualties/ispt0097-october-9-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0097-october-9-2023/', 'text': 'airwars.org'}",https://www.facebook.com/Eng.Kholoudmajde/posts/pfbid021Kv2Wg2FQZCTQhGAmqJPtfnqywgzvsSgQX9YVRFWesVJZ74yXusxHNrPsyK5tA2Al
31010-62217,10/10/2023,10-Oct-23,Al-Bureij,,Residential Building,31.440597,34.402669,31.4406,34.40267,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,"https://airwars.org/civilian-casualties/ispt0125-october-10-2023/, https://airwars.org/wp-content/uploads/2023/10/ISPT0125-AB.jpg","{'url': 'https://airwars.org/civilian-casualties/ispt0125-october-10-2023/', 'text': 'airwars.org'} | {'url': 'https://airwars.org/wp-content/uploads/2023/10/ISPT0125-AB.jpg', 'text': 'airwars.org'}",
31010-45262,10/10/2023,10-Oct-23,Beit Lahia,,,31.55998409,34.48760823,31.55998,34.48761,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,https://www.facebook.com/100092710567566/videos/897742158572111,https://t.me/ShehabTelegram/400926,"{'url': 'https://t.me/ShehabTelegram/400926', 'text': 'ShehabTelegram'}",https://www.facebook.com/100092710567566/videos/897742158572111
31010-56428,10/10/2023,10-Oct-23,Jabalia,,,31.544161,34.466389,31.54416,34.46639,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,https://t.me/ShehabTelegram/401422,"https://airwars.org/civilian-casualties/ispt0126-october-11-2023/,https://t.me/ShehabTelegram/401308","{'url': 'https://airwars.org/civilian-casualties/ispt0126-october-11-2023/', 'text': 'airwars.org'} | {'url': 'https://t.me/ShehabTelegram/401308', 'text': 'ShehabTelegram'}",https://t.me/ShehabTelegram/401422
31011-24455,10/11/2023,11-Oct-23,Gaza City,,,31.475,34.478611,31.475,34.47861,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0102b-october-11-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0102b-october-11-2023/', 'text': 'airwars.org'}",
31011-88724,10/11/2023,11-Oct-23,Beit Hanoun,Al-Nada towers,,31.549263,34.525323,31.54926,34.52532,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,https://www.facebook.com/PalestineRCS/videos/288462710745116/,https://airwars.org/civilian-casualties/ispt0102a-october-11-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0102a-october-11-2023/', 'text': 'airwars.org'}",https://www.facebook.com/PalestineRCS/videos/288462710745116/
31016-64159,10/16/2023,16-Oct-23,Al-Nuseirat,,Residential Building,31.454369,34.379306,31.45437,34.37931,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0255-october-16-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0255-october-16-2023/', 'text': 'airwars.org'}",
31013-71341,10/13/2023,13-Oct-23,Gaza City,,Residential Building,31.47977,34.442282,31.47977,34.44228,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0187-october-13-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0187-october-13-2023/', 'text': 'airwars.org'}",
31014-25192,10/14/2023,14-Oct-23,Gaza City,,Residential Building,31.5016533,34.4255895,31.50165,34.42559,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0197-october-14-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0197-october-14-2023/', 'text': 'airwars.org'}",
31014-81386,10/14/2023,14-Oct-23,Beit Lahia,,Residential Building,31.551277,34.509233,31.55128,34.50923,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,https://www.facebook.com/yonis.abojabal/posts/pfbid0v94ae5iBj5PcNmHW7adhYM6zauRPhc3SymTmfRkPQ5tL9vkWcQ42piTxD7tButntl,https://airwars.org/civilian-casualties/ispt0241d-october-14-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0241d-october-14-2023/', 'text': 'airwars.org'}",https://www.facebook.com/yonis.abojabal/posts/pfbid0v94ae5iBj5PcNmHW7adhYM6zauRPhc3SymTmfRkPQ5tL9vkWcQ42piTxD7tButntl
31015-36707,10/15/2023,15-Oct-23,Gaza City,,Residential Building,31.498611,34.4425,31.49861,34.4425,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0231-october-15-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0231-october-15-2023/', 'text': 'airwars.org'}",
31015-68887,10/15/2023,15-Oct-23,Khan Younis,,Residential Building,31.35421624,34.29780819,31.35422,34.29781,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0236a-october-15-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0236a-october-15-2023/', 'text': 'airwars.org'}",
31015-17820,10/15/2023,15-Oct-23,Al-Nuseirat,,Residential Building,31.4472122,34.3925043,31.44721,34.3925,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0222-october-15-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0222-october-15-2023/', 'text': 'airwars.org'}",
31016-71537,10/16/2023,16-Oct-23,Gaza City,,,31.50169,34.438913,31.50169,34.43891,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,"https://airwars.org/civilian-casualties/ispt0264-october-16-2023/,https://t.me/ShehabTelegram/403629","{'url': 'https://airwars.org/civilian-casualties/ispt0264-october-16-2023/', 'text': 'airwars.org'} | {'url': 'https://t.me/ShehabTelegram/403629', 'text': 'ShehabTelegram'}",
31017-22929,10/17/2023,17-Oct-23,Gaza City,,Hospital,31.515886,34.469303,31.51589,34.4693,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,"https://airwars.org/civilian-casualties/ispt0268-october-16-2023/,https://t.me/ShehabTelegram/406435","{'url': 'https://airwars.org/civilian-casualties/ispt0268-october-16-2023/', 'text': 'airwars.org'} | {'url': 'https://t.me/ShehabTelegram/406435', 'text': 'ShehabTelegram'}",
31019-20432,10/19/2023,19-Oct-23,Beit Lahia,,Residential Building,31.55998409,34.48760823,31.55998,34.48761,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,"https://t.me/AjaNews/213960, https://t.me/ShehabTelegram/405252","{'url': 'https://t.me/AjaNews/213960', 'text': 'AjaNews'} | {'url': 'https://t.me/ShehabTelegram/405252', 'text': 'ShehabTelegram'}",
31011-29095,10/11/2023,11-Oct-23,Gaza City,al-Dahsan family home,Residential Building,31.504444,34.455306,31.50444,34.45531,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,MOST LIKELY,,"https://airwars.org/civilian-casualties/ispt0134g-october-23-2023/, https://airwars.org/civilian-casualties/ispt0134g-october-23-2023/","{'url': 'https://airwars.org/civilian-casualties/ispt0134g-october-23-2023/', 'text': 'airwars.org'} | {'url': 'https://airwars.org/civilian-casualties/ispt0134g-october-23-2023/', 'text': 'airwars.org'}",
31024-43367,10/24/2023,24-Oct-23,Deir al-Balah,Khattab family home,Residential Building,31.418995,34.349442,31.41899,34.34944,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,"https://airwars.org/civilian-casualties/ispt0568-october-24-2023/, https://airwars.org/civilian-casualties/ispt0568-october-24-2023/","{'url': 'https://airwars.org/civilian-casualties/ispt0568-october-24-2023/', 'text': 'airwars.org'} | {'url': 'https://airwars.org/civilian-casualties/ispt0568-october-24-2023/', 'text': 'airwars.org'}",
31022-54502,10/22/2023,22-Oct-23,Al-Nuseirat,Al-Bayaa family home,Residential Building,31.450065,34.392934,31.45006,34.39293,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0451-october-22-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0451-october-22-2023/', 'text': 'airwars.org'}",
31022-91379,10/22/2023,22-Oct-23,Jabalia,Abu Taqiyya family home,Residential Building,31.53943,34.491276,31.53943,34.49128,Infrastructure,"airstrike, medical_worker",Attack on medical workers | Airstrike,CONFIRMED,https://www.facebook.com/100028103722870/videos/202141406163464,https://airwars.org/civilian-casualties/ispt0488-october-22-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0488-october-22-2023/', 'text': 'airwars.org'}",https://www.facebook.com/100028103722870/videos/202141406163464
31026-58286,10/26/2023,26-Oct-23,Beit Lahia,al-Ran family home,Residential Building,31.551277,34.509233,31.55128,34.50923,Infrastructure,"airstrike, family_medical_worker",Attack on family of medical staff | Airstrike,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0584-october-25-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0584-october-25-2023/', 'text': 'airwars.org'}",
00000-73966,3/21/2024,21-Mar-24,Gaza City,al-Shuja'iyya,Junction,31.48389164,34.47365229,31.48389,34.47365,Spatial Control,attack_direct,Attack on hospitals and vicinity,CONFIRMED,https://twitter.com/ytirawi/status/1770910935714033927,,,https://twitter.com/ytirawi/status/1770910935714033927
00000-23268,,,Khan Younis,,#REF!,31.33444462,34.29718233,31.33444,34.29718,Spatial Control,attack_direct,Attack on hospitals and vicinity,CONFIRMED,https://www.youtube.com/watch?v=DhVV2_mub84,https://www.middleeasteye.net/news/war-gaza-israel-drone-footage-kill-four,"{'url': 'https://www.middleeasteye.net/news/war-gaza-israel-drone-footage-kill-four', 'text': 'middleeasteye.net'}",https://www.youtube.com/watch?v=DhVV2_mub84
50330-26272,3/30/2025,30-Mar-25,Rafah,Tel al-Sultan,,31.3234,34.24368,31.3234,34.24368,"Displacement, Medical",Shooting,Shooting on healthcare worker,CONFIRMED,Vid1,"https://x.com/PalestineRCS/status/1908458778040631384, Vid2, https://x.com/EyeonPalestine/status/1906638386175062230, Vid3, https://x.com/GeoConfirmed/status/1907499307147866113","{'url': 'https://x.com/PalestineRCS/status/1908458778040631384', 'text': 'PalestineRCS'} | {'url': 'Vid2'} | {'url': 'https://x.com/EyeonPalestine/status/1906638386175062230', 'text': 'EyeonPalestine'} | {'url': 'Vid3'} | {'url': 'https://x.com/GeoConfirmed/status/1907499307147866113', 'text': 'GeoConfirmed'}",Vid1
50407-34628,4/7/2025,7-Apr-25,Gaza City,On al Jalaaâ€™ Street,health clinic,31.5196,34.457,31.5196,34.457,Medical,Airstrike,Airstrike on healthcare worker,CONFIRMED,https://t.me/mohnadQ/52241,"https://www.rescue.org/uk/press-release/irc-calls-immediate-protection-aid-workers-gaza-following-killing-partner-health, https://www.facebook.com/story.php?story_fbid=1109147021241244&id=100064378705842&mibextid=wwXIfr&rdid=bOYd6OGt2eQCAi0o, https://www.ochaopt.org/content/humanitarian-situation-update-280-gaza-strip, https://x.com/QudsNen/status/1907364503534150012","{'url': 'https://www.rescue.org/uk/press-release/irc-calls-immediate-protection-aid-workers-gaza-following-killing-partner-health', 'text': 'rescue.org'} | {'url': 'https://www.facebook.com/story.php?story_fbid=1109147021241244&id=100064378705842&mibextid=wwXIfr&rdid=bOYd6OGt2eQCAi0o', 'text': 'facebook.com'} | {'url': 'https://www.ochaopt.org/content/humanitarian-situation-update-280-gaza-strip', 'text': 'ochaopt.org'} | {'url': 'https://x.com/QudsNen/status/1907364503534150012', 'text': 'QudsNen'}",https://t.me/mohnadQ/52241
50422-58441,4/22/2025,22-Apr-25,Khan Younis,Mawasi,Field Hospital,31.35253443,34.2973052,31.35253,34.29731,Medical,Airstrike,Airstrike on healthcare worker,CONFIRMED,https://www.ochaopt.org/content/humanitarian-situation-update-284-gaza-strip?_gl=1*o260p2*_ga*NjAzNjI0MDAxLjE3MzIwOTM1ODI.*_ga_E60ZNX2F68*MTc0NjM2MjgxNS4zOC4wLjE3NDYzNjI4MjEuNTQuMC4w,,,https://www.ochaopt.org/content/humanitarian-situation-update-284-gaza-strip?_gl=1*o260p2*_ga*NjAzNjI0MDAxLjE3MzIwOTM1ODI.*_ga_E60ZNX2F68*MTc0NjM2MjgxNS4zOC4wLjE3NDYzNjI4MjEuNTQuMC4w
